Time:1, step:16, uav_id:6, uav_pos:[208.89367199 245.42794228 100.        ], uav_lab:8
Time:1, step:16, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:16, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:17, uav_id:0, uav_pos:[142.05034447 192.91894817 100.        ], uav_lab:4
Time:1, step:17, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:17, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:17, uav_id:3, uav_pos:[219.85558414 148.30666884 100.        ], uav_lab:5
Time:1, step:17, uav_id:4, uav_pos:[295.55828285 162.45503735 100.        ], uav_lab:5
Time:1, step:17, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:17, uav_id:6, uav_pos:[218.89367199 245.42794403 100.        ], uav_lab:8
Time:1, step:17, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:17, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:18, uav_id:0, uav_pos:[147.45336723 201.33365822 100.        ], uav_lab:7
Time:1, step:18, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:18, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:18, uav_id:3, uav_pos:[229.85558414 148.30667059 100.        ], uav_lab:5
Time:1, step:18, uav_id:4, uav_pos:[295.55828285 162.45503735 100.        ], uav_lab:5
Time:1, step:18, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:18, uav_id:6, uav_pos:[228.89367199 245.42794577 100.        ], uav_lab:8
Time:1, step:18, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:18, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:19, uav_id:0, uav_pos:[152.85639    209.74836826 100.        ], uav_lab:7
Time:1, step:19, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:19, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:19, uav_id:3, uav_pos:[239.85558414 148.30667234 100.        ], uav_lab:5
Time:1, step:19, uav_id:4, uav_pos:[295.55828285 162.45503735 100.        ], uav_lab:5
Time:1, step:19, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:19, uav_id:6, uav_pos:[238.89367199 245.42783785 100.        ], uav_lab:8
Time:1, step:19, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:19, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:20, uav_id:0, uav_pos:[158.25941277 218.16307831 100.        ], uav_lab:7
Time:1, step:20, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:20, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:20, uav_id:3, uav_pos:[249.85558414 148.30667408 100.        ], uav_lab:5
Time:1, step:20, uav_id:4, uav_pos:[295.55828285 162.45503735 100.        ], uav_lab:5
Time:1, step:20, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:20, uav_id:6, uav_pos:[248.89367199 245.4278396  100.        ], uav_lab:8
Time:1, step:20, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:20, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:21, uav_id:0, uav_pos:[163.66243553 226.57778835 100.        ], uav_lab:7
Time:1, step:21, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:21, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:21, uav_id:3, uav_pos:[259.85558414 148.30667583 100.        ], uav_lab:5
Time:1, step:21, uav_id:4, uav_pos:[295.55828285 162.45503735 100.        ], uav_lab:5
Time:1, step:21, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:21, uav_id:6, uav_pos:[258.89367199 245.42779843 100.        ], uav_lab:8
Time:1, step:21, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:21, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:22, uav_id:0, uav_pos:[169.0654583 234.9924984 100.       ], uav_lab:7
Time:1, step:22, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:22, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:22, uav_id:3, uav_pos:[269.85558414 148.30667758 100.        ], uav_lab:5
Time:1, step:22, uav_id:4, uav_pos:[290.41724205 153.87775921 100.        ], uav_lab:5
Time:1, step:22, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:22, uav_id:6, uav_pos:[268.89367199 245.42780018 100.        ], uav_lab:8
Time:1, step:22, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:22, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:23, uav_id:0, uav_pos:[174.46848106 243.40720844 100.        ], uav_lab:7
Time:1, step:23, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:23, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:23, uav_id:3, uav_pos:[279.85558414 148.30667933 100.        ], uav_lab:5
Time:1, step:23, uav_id:4, uav_pos:[290.41724205 153.87775921 100.        ], uav_lab:5
Time:1, step:23, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:23, uav_id:6, uav_pos:[278.89367199 245.42780193 100.        ], uav_lab:8
Time:1, step:23, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:23, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:24, uav_id:0, uav_pos:[179.87150383 251.82191849 100.        ], uav_lab:7
Time:1, step:24, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:24, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:24, uav_id:3, uav_pos:[289.85558414 148.30668108 100.        ], uav_lab:5
Time:1, step:24, uav_id:4, uav_pos:[290.41724205 153.87775921 100.        ], uav_lab:5
Time:1, step:24, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:24, uav_id:6, uav_pos:[288.89367199 245.42780368 100.        ], uav_lab:8
Time:1, step:24, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:24, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:25, uav_id:0, uav_pos:[185.2745266  260.23662853 100.        ], uav_lab:7
Time:1, step:25, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:25, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:25, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:25, uav_id:4, uav_pos:[290.41724205 153.87775921 100.        ], uav_lab:5
Time:1, step:25, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:25, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:25, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
